Number,District,City,Address,Link,Eng Link,JPY Price,USD Price,Range,Instagram
517,Imari,Saga,"Nagahama Higashiyamashirocho, Imari, Saga 849-4271",https://imari-c41205.akiya-athome.jp/bukken/detail/buy/11560,https://translate.google.com/translate?sl=ja&tl=en&u=https://imari-c41205.akiya-athome.jp/bukken/detail/buy/11560,	250万円,"$23,000",Under $30k,https://www.instagram.com/p/CVSwRkeAz0n/
1120,Hirogawa,Wakayama,"Kamitsugi, Hirogawa, Arida District, Wakayama 643-0052, Japan",https://www.athome.co.jp/kodate/6966348789/,https://translate.google.com/translate?sl=ja&tl=en&u=https://www.athome.co.jp/kodate/6966348789/,400万円,"$27,000",Under $30k,
1193,Hino,Tottori,"Kurosaka, Hino, Hino District, Tottori 689-5131, Japan",https://myhome.nifty.com/chuko/ikkodate/tottori/hinogunhinocho/homesf_01359110000203/,https://translate.google.com/translate?sl=ja&tl=en&u=https://myhome.nifty.com/chuko/ikkodate/tottori/hinogunhinocho/homesf_01359110000203/,200万円,"$14,000",Under $30k,
1204,Otaru,Hokkaido,"3 Chome Takashima, Otaru, Hokkaido 047-0048, Japan",https://myhome.nifty.com/chuko/ikkodate/hokkaido/otarushi/suumof_97081927/,https://translate.google.com/translate?sl=ja&tl=en&u=https://myhome.nifty.com/chuko/ikkodate/hokkaido/otarushi/suumof_97081927/,190万円,"$15,000",Under $30k,
1212,Otaru,Hokkaido,"Nagahashi, Otaru, Hokkaido 047-0036, Japan",https://house.goo.ne.jp/buy/uh/detail/1/01203/010Z96578881/135153001/x1010Z96578881.html,https://translate.google.com/translate?sl=ja&tl=en&u=https://house.goo.ne.jp/buy/uh/detail/1/01203/010Z96578881/135153001/x1010Z96578881.html,348万円,"$28,000",Under $30k,https://www.instagram.com/p/Cc5jwhtPpVY/
1307,,Yamaguchi City,"Tokujiyasaka, Yamaguchi, 747-0344 Japan",https://www.athome.co.jp/kodate/6969025112/?DOWN=1&BKLISTID=001LPC&sref=list_simple,https://translate.google.com/translate?sl=ja&tl=en&u=https://www.athome.co.jp/kodate/6969025112/?DOWN=1&BKLISTID=001LPC&sref=list_simple,350万円,"$28,000",Under $30k,
1314,Kiso,Nagano,"Mitake, Kiso, Kiso District, Nagano 397-0101",https://matsumoto.fudousan.co.jp/details/107800394615/q?area=%E6%9C%A8%E6%9B%BD%E9%83%A1%E6%9C%A8%E6%9B%BD%E7%94%BA%E4%B8%89%E5%B2%B33,https://translate.google.com/translate?sl=ja&tl=en&u=https://matsumoto.fudousan.co.jp/details/107800394615/q?area=%E6%9C%A8%E6%9B%BD%E9%83%A1%E6%9C%A8%E6%9B%BD%E7%94%BA%E4%B8%89%E5%B2%B33,290万円,"$23,000",Under $30k,
1351,Kiso,Nagano,"900 Mitake, Kiso, Kiso District, Nagano 397-0101",https://matsumoto.fudousan.co.jp/details/107800377598/q?area=%E6%9C%A8%E6%9B%BD%E9%83%A1%E6%9C%A8%E6%9B%BD%E7%94%BA%E4%B8%89%E5%B2%B3,https://translate.google.com/translate?sl=ja&tl=en&u=https://matsumoto.fudousan.co.jp/details/107800377598/q?area=%E6%9C%A8%E6%9B%BD%E9%83%A1%E6%9C%A8%E6%9B%BD%E7%94%BA%E4%B8%89%E5%B2%B3,450万円,"$30,000",Under $30k,
1371,Nachikatsuura,Wakayama,"Ichiya, Nachikatsuura, Higashimuro District, Wakayama 649-5141",https://ieichiba.com/project/P202200217%E9%82%A3%E6%99%BA%E5%8B%9D%E6%B5%A6%E7%94%BA%E5%B8%82%E5%B1%8B,https://translate.google.com/translate?sl=ja&tl=en&u=https://ieichiba.com/project/P202200217%E9%82%A3%E6%99%BA%E5%8B%9D%E6%B5%A6%E7%94%BA%E5%B8%82%E5%B1%8B,400万円,"$27,000",Under $30k,
1383,Chikuhoku,Nagano,"Chikuhoku, Higashichikuma District, Nagano",http://www.s-inaka.co.jp/270sakakita.html,https://translate.google.com/translate?sl=ja&tl=en&u=http://www.s-inaka.co.jp/270sakakita.html,270万円,"$22,000",Under $30k,
